,x,y,rmag,f_x,f_y,f_rot_mag
309,0.041,-0.1404,2.8209,0.0314,-0.1051,3.3863
310,0.0528,-0.1617,3.9081,0.0324,-0.1101,3.2577
311,0.05,-0.1704,3.9081,0.0336,-0.1153,3.1291
312,0.04,-0.1679,3.0561,0.035,-0.121,2.9977
313,0.0534,-0.1804,3.9081,0.0368,-0.1271,2.9977
314,0.0554,-0.1791,3.9081,0.0388,-0.1331,2.9977
315,0.0686,-0.1867,3.0561,0.0415,-0.1393,2.9409
316,0.0686,-0.1867,3.0561,0.0442,-0.1452,2.9566
317,0.0676,-0.1813,3.9081,0.0467,-0.1505,3.0864
318,0.0463,-0.174,3.0561,0.0476,-0.1548,3.219
319,0.0584,-0.1959,1.9608,0.0489,-0.1606,3.219
320,0.074,-0.1936,3.0561,0.0521,-0.166,3.292
321,0.0405,-0.1749,3.0561,0.0522,-0.1699,3.365
322,0.0523,-0.1967,1.9608,0.0541,-0.1749,3.2352
323,0.0523,-0.1967,1.9608,0.0547,-0.1791,3.1054
324,0.0523,-0.1967,1.9608,0.0555,-0.1828,3.048
325,0.0405,-0.1749,3.0561,0.0547,-0.1837,2.9912
326,0.0405,-0.1749,3.0561,0.054,-0.184,2.9344
327,0.0405,-0.1749,3.0561,0.0541,-0.1845,2.9344
328,0.063,-0.1895,1.9608,0.0547,-0.1851,2.8046
329,0.0593,-0.195,0.8987,0.055,-0.1862,2.604
330,0.0656,-0.1972,1.0344,0.0548,-0.1869,2.4692
331,0.0535,-0.2181,1.9701,0.0538,-0.189,2.3968
332,0.0535,-0.2181,1.9701,0.0528,-0.1914,2.2676
333,0.0523,-0.2103,1.0344,0.0532,-0.1938,2.1328
334,0.0523,-0.2103,1.0344,0.0528,-0.1948,2.0711
335,0.0459,-0.2061,0.0,0.051,-0.1956,1.8673
336,0.0566,-0.2072,0.0,0.052,-0.1978,1.6636
337,0.0553,-0.2086,1.0344,0.0522,-0.1986,1.6018
338,0.0553,-0.2086,1.0344,0.0524,-0.1994,1.5401
339,0.0553,-0.2086,1.0344,0.0526,-0.2002,1.4783
340,0.0553,-0.2086,1.0344,0.0536,-0.2024,1.3435
341,0.0553,-0.2086,1.0344,0.0546,-0.2046,1.2087
342,0.0553,-0.2086,1.0344,0.0556,-0.2069,1.074
343,0.0553,-0.2086,1.0344,0.0551,-0.2082,1.0122
344,0.0553,-0.2086,1.0344,0.0548,-0.2091,1.0212
345,0.0553,-0.2086,1.0344,0.0541,-0.2098,1.0212
346,0.0553,-0.2086,1.0344,0.0542,-0.2092,0.9589
347,0.0553,-0.2086,1.0344,0.0544,-0.2086,0.8965
348,0.053,-0.2072,0.0,0.0544,-0.2084,0.8275
349,0.0623,-0.2106,1.9701,0.0551,-0.2084,0.8899
350,0.0553,-0.2086,1.0344,0.0557,-0.2085,0.9589
351,0.0553,-0.2086,1.0344,0.0556,-0.2086,1.0278
352,0.0623,-0.2106,1.9701,0.0561,-0.2088,1.0902
353,0.0623,-0.2106,1.9701,0.0565,-0.2089,1.1526
354,0.0623,-0.2106,1.9701,0.057,-0.209,1.215
355,0.0535,-0.2181,1.9701,0.0569,-0.2097,1.2773
356,0.0535,-0.2181,1.9701,0.0568,-0.2103,1.3397
357,0.0618,-0.203,1.9701,0.0572,-0.2099,1.4021
358,0.0618,-0.203,1.9701,0.0576,-0.2096,1.4645
359,0.0435,-0.2015,2.9741,0.0569,-0.2091,1.5938
360,0.0572,-0.1886,2.9741,0.057,-0.2078,1.7231
361,0.0469,-0.2029,1.9701,0.0564,-0.2074,1.7855
362,0.0593,-0.1783,0.0,0.0567,-0.2054,1.7165
363,0.0507,-0.1735,1.9608,0.0565,-0.2031,1.8472
364,0.0438,-0.1738,0.8987,0.0553,-0.2007,1.7758
365,0.0423,-0.1813,0.0,0.0544,-0.1988,1.7069
366,0.0419,-0.1736,0.0,0.0535,-0.1965,1.6379
367,0.0419,-0.1736,0.0,0.0522,-0.194,1.5066
368,0.0329,-0.1638,0.0,0.0502,-0.1909,1.3752
369,0.0266,-0.1414,0.9321,0.0478,-0.1863,1.306
370,0.0454,-0.154,3.9451,0.0473,-0.182,1.4377
371,0.0452,-0.1396,3.9451,0.0467,-0.1768,1.5694
372,0.0441,-0.1623,3.9451,0.0456,-0.1741,1.701
373,0.0441,-0.1623,3.9451,0.0444,-0.1714,1.8327
374,0.0496,-0.155,2.9741,0.0448,-0.1683,1.8327
375,0.0421,-0.1578,0.0,0.0438,-0.1662,1.6344
376,0.0547,-0.1677,1.9608,0.0443,-0.1639,1.6338
377,0.0538,-0.1813,3.9081,0.0439,-0.1641,1.8943
378,0.0553,-0.174,5.8372,0.0442,-0.1641,2.1528
379,0.0728,-0.1857,5.0274,0.0462,-0.1649,2.428
380,0.0606,-0.1879,3.9081,0.0474,-0.1653,2.6885
381,0.0508,-0.1701,5.0274,0.048,-0.1651,3.0237
382,0.0433,-0.1828,5.0274,0.0481,-0.1657,3.3589
383,0.0702,-0.1809,3.9081,0.0506,-0.1669,3.6194
384,0.0556,-0.1865,3.9081,0.0525,-0.1699,3.8178
385,0.0484,-0.1944,1.9608,0.0527,-0.1726,3.6855
386,0.0593,-0.195,0.8987,0.0536,-0.1762,3.4824
387,0.0564,-0.2111,0.0,0.0545,-0.1795,3.2194
388,0.0564,-0.2111,0.0,0.0553,-0.1828,2.9564
389,0.0564,-0.2111,0.0,0.0557,-0.1865,2.7581
390,0.0564,-0.2111,0.0,0.0567,-0.19,2.7581
